TEAM_ID,MISSION_TIME,PACKET_COUNT,MODE,STATE,ALTITUDE,HS_DEPLOYED,PC_DEPLOYED,MAST_RAISED,TEMPERATURE,PRESSURE,VOLTAGE,GPS_TIME,GPS_ALTITUDE,GPS_LATITUDE,GPS_LONGITUDE,GPS_SATS,TILT_X,TILT_Y,CMD_ECHO
1008.0,0:2:57,129.0,F,SOff,0.7,N,N,N,29.23,952.87,7.69,0:2:37,0.0,0.0,-0.0,0.0,0.93,-54.66,ST
1008.0,0:2:58,130.0,F,SOff,0.67,N,N,N,29.25,952.87,7.71,0:2:38,0.0,0.0,-0.0,0.0,-10.02,-46.67,ST
1008.0,0:2:59,131.0,F,SOff,0.63,N,N,N,29.27,952.88,7.71,0:2:39,0.0,0.0,-0.0,0.0,-8.85,-44.22,ST
1008.0,0:3:0,132.0,F,SOff,0.55,N,N,N,29.29,952.89,7.71,0:2:40,0.0,0.0,-0.0,0.0,-1.73,-46.85,ST
1008.0,0:3:1,133.0,F,SOff,0.52,N,N,N,29.31,952.89,7.71,0:2:41,0.0,0.0,-0.0,0.0,-4.8,-47.51,ST
1008.0,0:3:2,134.0,F,SOff,0.5,N,N,N,29.33,952.89,7.69,0:2:42,0.0,0.0,-0.0,0.0,4.44,-50.62,ST
1008.0,0:3:3,135.0,F,SOff,0.47,N,N,N,29.35,952.9,7.71,0:2:43,0.0,0.0,-0.0,0.0,-3.68,-52.68,ST
1008.0,0:3:4,136.0,F,SOff,0.46,N,N,N,29.37,952.9,7.71,0:2:44,0.0,0.0,-0.0,0.0,-6.04,-45.05,ST
1008.0,0:3:5,137.0,F,SOff,0.45,N,N,N,29.39,952.9,7.71,0:2:45,0.0,0.0,-0.0,0.0,3.74,-41.57,ST
1008.0,0:3:6,138.0,F,SOff,0.47,N,N,N,29.41,952.9,7.71,0:2:46,0.0,0.0,-0.0,0.0,-0.47,-51.79,ST
1008.0,0:3:7,139.0,F,SOff,0.46,N,N,N,29.43,952.9,7.71,0:2:47,0.0,0.0,-0.0,0.0,4.51,-51.24,ST
1008.0,0:3:8,140.0,F,SOff,0.46,N,N,N,29.44,952.9,7.71,0:2:48,0.0,0.0,-0.0,0.0,-2.17,-45.63,ST
1008.0,0:3:9,141.0,F,SOff,0.41,N,N,N,29.46,952.9,7.69,0:2:49,0.0,0.0,-0.0,0.0,5.71,-50.58,ST
1008.0,0:3:10,142.0,F,SOff,0.43,N,N,N,29.48,952.9,7.71,0:2:50,0.0,0.0,-0.0,0.0,9.8,-54.76,ST
